emoji,name,group,sub_group,codepoints,name_spanish,name_spanish_formatted
🧑‍🔧,mechanic,People & Body,person-role,1F9D1 200D 1F527,mecanico,[mecanico]
🧑🏻‍🔧,mechanic: light skin tone,People & Body,person-role,1F9D1 1F3FB 200D 1F527,mecanico  tono de piel clara,[mecanico  tono de piel clara]
🧑🏼‍🔧,mechanic: medium-light skin tone,People & Body,person-role,1F9D1 1F3FC 200D 1F527,tono de piel medio-luz  mecanico,[tono de piel medio-luz  mecanico]
🧑🏽‍🔧,mechanic: medium skin tone,People & Body,person-role,1F9D1 1F3FD 200D 1F527,tono de piel medio  mecanico,[tono de piel medio  mecanico]
🧑🏾‍🔧,mechanic: medium-dark skin tone,People & Body,person-role,1F9D1 1F3FE 200D 1F527,tono de piel medio-oscuro  mecanico,[tono de piel medio-oscuro  mecanico]
🧑🏿‍🔧,mechanic: dark skin tone,People & Body,person-role,1F9D1 1F3FF 200D 1F527,tono de piel oscura  mecanico,[tono de piel oscura  mecanico]
👨‍🔧,man mechanic,People & Body,person-role,1F468 200D 1F527,hombre mecanico,[hombre mecanico]
👨🏻‍🔧,man mechanic: light skin tone,People & Body,person-role,1F468 1F3FB 200D 1F527,hombre mecanico  tono de piel clara,[hombre mecanico  tono de piel clara]
👨🏼‍🔧,man mechanic: medium-light skin tone,People & Body,person-role,1F468 1F3FC 200D 1F527,hombre del mecanico  medio-ligero tono de la piel,[hombre del mecanico  medio-ligero tono de la piel]
👨🏽‍🔧,man mechanic: medium skin tone,People & Body,person-role,1F468 1F3FD 200D 1F527,hombre mecanico  tono de piel medio,[hombre mecanico  tono de piel medio]
👨🏾‍🔧,man mechanic: medium-dark skin tone,People & Body,person-role,1F468 1F3FE 200D 1F527,hombre mecanico  tono de piel medio-oscuro,[hombre mecanico  tono de piel medio-oscuro]
👨🏿‍🔧,man mechanic: dark skin tone,People & Body,person-role,1F468 1F3FF 200D 1F527,hombre mecanico  tono de piel oscura,[hombre mecanico  tono de piel oscura]
👩‍🔧,woman mechanic,People & Body,person-role,1F469 200D 1F527,mujer mecanico,[mujer mecanico]
👩🏻‍🔧,woman mechanic: light skin tone,People & Body,person-role,1F469 1F3FB 200D 1F527,mujer mecanico  tono de piel clara,[mujer mecanico  tono de piel clara]
👩🏼‍🔧,woman mechanic: medium-light skin tone,People & Body,person-role,1F469 1F3FC 200D 1F527,tono de piel medio-luz  mujer mecanico,[tono de piel medio-luz  mujer mecanico]
👩🏽‍🔧,woman mechanic: medium skin tone,People & Body,person-role,1F469 1F3FD 200D 1F527,mujer mecanico  tono de piel medio,[mujer mecanico  tono de piel medio]
👩🏾‍🔧,woman mechanic: medium-dark skin tone,People & Body,person-role,1F469 1F3FE 200D 1F527,mujer mecanico  tono de piel medio-oscuro,[mujer mecanico  tono de piel medio-oscuro]
👩🏿‍🔧,woman mechanic: dark skin tone,People & Body,person-role,1F469 1F3FF 200D 1F527,mujer mecanico  tono de piel oscura,[mujer mecanico  tono de piel oscura]
🧑‍🏭,factory worker,People & Body,person-role,1F9D1 200D 1F3ED,trabajador de fabrica,[trabajador de fabrica]
🧑🏻‍🏭,factory worker: light skin tone,People & Body,person-role,1F9D1 1F3FB 200D 1F3ED,trabajador de la fabrica  tono de piel clara,[trabajador de la fabrica  tono de piel clara]
🧑🏼‍🏭,factory worker: medium-light skin tone,People & Body,person-role,1F9D1 1F3FC 200D 1F3ED,trabajador de la fabrica  el tono de piel medio-luz,[trabajador de la fabrica  el tono de piel medio-luz]
🧑🏽‍🏭,factory worker: medium skin tone,People & Body,person-role,1F9D1 1F3FD 200D 1F3ED,trabajador de la fabrica  tono de piel medio,[trabajador de la fabrica  tono de piel medio]
🧑🏾‍🏭,factory worker: medium-dark skin tone,People & Body,person-role,1F9D1 1F3FE 200D 1F3ED,trabajador de la fabrica  el tono de piel medio-oscuro,[trabajador de la fabrica  el tono de piel medio-oscuro]
🧑🏿‍🏭,factory worker: dark skin tone,People & Body,person-role,1F9D1 1F3FF 200D 1F3ED,trabajador de la fabrica  tono de piel oscura,[trabajador de la fabrica  tono de piel oscura]
👨‍🏭,man factory worker,People & Body,person-role,1F468 200D 1F3ED,hombre trabajador de la fabrica,[hombre trabajador de la fabrica]
👨🏻‍🏭,man factory worker: light skin tone,People & Body,person-role,1F468 1F3FB 200D 1F3ED,hombre trabajador de fabrica  tono de piel clara,[hombre trabajador de fabrica  tono de piel clara]
👨🏼‍🏭,man factory worker: medium-light skin tone,People & Body,person-role,1F468 1F3FC 200D 1F3ED,hombre trabajador de la fabrica  el tono de piel medio-luz,[hombre trabajador de la fabrica  el tono de piel medio-luz]
👨🏽‍🏭,man factory worker: medium skin tone,People & Body,person-role,1F468 1F3FD 200D 1F3ED,hombre trabajador de fabrica  tono de piel medio,[hombre trabajador de fabrica  tono de piel medio]
👨🏾‍🏭,man factory worker: medium-dark skin tone,People & Body,person-role,1F468 1F3FE 200D 1F3ED,hombre trabajador de la fabrica  el tono de piel medio-oscuro,[hombre trabajador de la fabrica  el tono de piel medio-oscuro]
👨🏿‍🏭,man factory worker: dark skin tone,People & Body,person-role,1F468 1F3FF 200D 1F3ED,hombre trabajador de fabrica  tono de piel oscura,[hombre trabajador de fabrica  tono de piel oscura]
👩‍🏭,woman factory worker,People & Body,person-role,1F469 200D 1F3ED,trabajador de una fabrica mujer,[trabajador de una fabrica mujer]
👩🏻‍🏭,woman factory worker: light skin tone,People & Body,person-role,1F469 1F3FB 200D 1F3ED,trabajador de una fabrica mujer  tono de piel clara,[trabajador de una fabrica mujer  tono de piel clara]
👩🏼‍🏭,woman factory worker: medium-light skin tone,People & Body,person-role,1F469 1F3FC 200D 1F3ED,trabajador de una fabrica mujer  tono de piel medio-luz,[trabajador de una fabrica mujer  tono de piel medio-luz]
👩🏽‍🏭,woman factory worker: medium skin tone,People & Body,person-role,1F469 1F3FD 200D 1F3ED,trabajador de una fabrica mujer  tono de piel medio,[trabajador de una fabrica mujer  tono de piel medio]
👩🏾‍🏭,woman factory worker: medium-dark skin tone,People & Body,person-role,1F469 1F3FE 200D 1F3ED,trabajador de una fabrica mujer  tono de piel medio-oscuro,[trabajador de una fabrica mujer  tono de piel medio-oscuro]
👩🏿‍🏭,woman factory worker: dark skin tone,People & Body,person-role,1F469 1F3FF 200D 1F3ED,trabajador de una fabrica mujer  tono de piel oscura,[trabajador de una fabrica mujer  tono de piel oscura]
🧑‍💼,office worker,People & Body,person-role,1F9D1 200D 1F4BC,empleado de oficina,[empleado de oficina]
🧑🏻‍💼,office worker: light skin tone,People & Body,person-role,1F9D1 1F3FB 200D 1F4BC,empleado de oficina  tono de piel clara,[empleado de oficina  tono de piel clara]
🧑🏼‍💼,office worker: medium-light skin tone,People & Body,person-role,1F9D1 1F3FC 200D 1F4BC,empleado de oficina  tono de piel medio-luz,[empleado de oficina  tono de piel medio-luz]
🧑🏽‍💼,office worker: medium skin tone,People & Body,person-role,1F9D1 1F3FD 200D 1F4BC,empleado de oficina  tono de piel medio,[empleado de oficina  tono de piel medio]
🧑🏾‍💼,office worker: medium-dark skin tone,People & Body,person-role,1F9D1 1F3FE 200D 1F4BC,empleado de oficina  tono de piel medio-oscuro,[empleado de oficina  tono de piel medio-oscuro]
🧑🏿‍💼,office worker: dark skin tone,People & Body,person-role,1F9D1 1F3FF 200D 1F4BC,empleado de oficina  tono de piel oscura,[empleado de oficina  tono de piel oscura]
👨‍💼,man office worker,People & Body,person-role,1F468 200D 1F4BC,hombre trabajador de oficina,[hombre trabajador de oficina]
👨🏻‍💼,man office worker: light skin tone,People & Body,person-role,1F468 1F3FB 200D 1F4BC,trabajador de oficina hombre  tono de piel clara,[trabajador de oficina hombre  tono de piel clara]
👨🏼‍💼,man office worker: medium-light skin tone,People & Body,person-role,1F468 1F3FC 200D 1F4BC,trabajador de oficina hombre  el tono de piel medio-luz,[trabajador de oficina hombre  el tono de piel medio-luz]
👨🏽‍💼,man office worker: medium skin tone,People & Body,person-role,1F468 1F3FD 200D 1F4BC,trabajador de oficina hombre  tono de piel medio,[trabajador de oficina hombre  tono de piel medio]
👨🏾‍💼,man office worker: medium-dark skin tone,People & Body,person-role,1F468 1F3FE 200D 1F4BC,trabajador de oficina hombre  el tono de piel medio-oscuro,[trabajador de oficina hombre  el tono de piel medio-oscuro]
👨🏿‍💼,man office worker: dark skin tone,People & Body,person-role,1F468 1F3FF 200D 1F4BC,trabajador de oficina hombre  tono de piel oscura,[trabajador de oficina hombre  tono de piel oscura]
👩‍💼,woman office worker,People & Body,person-role,1F469 200D 1F4BC,empleado de oficina mujer,[empleado de oficina mujer]
👩🏻‍💼,woman office worker: light skin tone,People & Body,person-role,1F469 1F3FB 200D 1F4BC,empleado de oficina mujer  tono de piel clara,[empleado de oficina mujer  tono de piel clara]
👩🏼‍💼,woman office worker: medium-light skin tone,People & Body,person-role,1F469 1F3FC 200D 1F4BC,empleado de oficina mujer  tono de piel medio-luz,[empleado de oficina mujer  tono de piel medio-luz]
👩🏽‍💼,woman office worker: medium skin tone,People & Body,person-role,1F469 1F3FD 200D 1F4BC,empleado de oficina mujer  tono de piel medio,[empleado de oficina mujer  tono de piel medio]
👩🏾‍💼,woman office worker: medium-dark skin tone,People & Body,person-role,1F469 1F3FE 200D 1F4BC,empleado de oficina mujer  tono de piel medio-oscuro,[empleado de oficina mujer  tono de piel medio-oscuro]
👩🏿‍💼,woman office worker: dark skin tone,People & Body,person-role,1F469 1F3FF 200D 1F4BC,empleado de oficina mujer  tono de piel oscura,[empleado de oficina mujer  tono de piel oscura]
🧑‍🔬,scientist,People & Body,person-role,1F9D1 200D 1F52C,cientifico,[cientifico]
🧑🏻‍🔬,scientist: light skin tone,People & Body,person-role,1F9D1 1F3FB 200D 1F52C,cientifico  tono de piel clara,[cientifico  tono de piel clara]
🧑🏼‍🔬,scientist: medium-light skin tone,People & Body,person-role,1F9D1 1F3FC 200D 1F52C,tono de la piel de mediano luz  cientifico,[tono de la piel de mediano luz  cientifico]
🧑🏽‍🔬,scientist: medium skin tone,People & Body,person-role,1F9D1 1F3FD 200D 1F52C,cientifico  tono de piel medio,[cientifico  tono de piel medio]
🧑🏾‍🔬,scientist: medium-dark skin tone,People & Body,person-role,1F9D1 1F3FE 200D 1F52C,cientifico  tono de piel medio-oscuro,[cientifico  tono de piel medio-oscuro]
🧑🏿‍🔬,scientist: dark skin tone,People & Body,person-role,1F9D1 1F3FF 200D 1F52C,cientifico  tono de piel oscura,[cientifico  tono de piel oscura]
👨‍🔬,man scientist,People & Body,person-role,1F468 200D 1F52C,cientifico hombre,[cientifico hombre]
👨🏻‍🔬,man scientist: light skin tone,People & Body,person-role,1F468 1F3FB 200D 1F52C,hombre del cientifico  tono de piel clara,[hombre del cientifico  tono de piel clara]
👨🏼‍🔬,man scientist: medium-light skin tone,People & Body,person-role,1F468 1F3FC 200D 1F52C,hombre cientifico  tono de la piel de mediano luz,[hombre cientifico  tono de la piel de mediano luz]
👨🏽‍🔬,man scientist: medium skin tone,People & Body,person-role,1F468 1F3FD 200D 1F52C,hombre cientifico  tono de piel medio,[hombre cientifico  tono de piel medio]
👨🏾‍🔬,man scientist: medium-dark skin tone,People & Body,person-role,1F468 1F3FE 200D 1F52C,hombre cientifico  tono de piel medio-oscuro,[hombre cientifico  tono de piel medio-oscuro]
👨🏿‍🔬,man scientist: dark skin tone,People & Body,person-role,1F468 1F3FF 200D 1F52C,hombre del cientifico  tono de piel oscura,[hombre del cientifico  tono de piel oscura]
👩‍🔬,woman scientist,People & Body,person-role,1F469 200D 1F52C,cientifico de la mujer,[cientifico de la mujer]
👩🏻‍🔬,woman scientist: light skin tone,People & Body,person-role,1F469 1F3FB 200D 1F52C,cientifico de la mujer  tono de piel clara,[cientifico de la mujer  tono de piel clara]
👩🏼‍🔬,woman scientist: medium-light skin tone,People & Body,person-role,1F469 1F3FC 200D 1F52C,cientifico de la mujer  el tono de piel medio-luz,[cientifico de la mujer  el tono de piel medio-luz]
👩🏽‍🔬,woman scientist: medium skin tone,People & Body,person-role,1F469 1F3FD 200D 1F52C,cientifico de la mujer  tono de piel medio,[cientifico de la mujer  tono de piel medio]
👩🏾‍🔬,woman scientist: medium-dark skin tone,People & Body,person-role,1F469 1F3FE 200D 1F52C,cientifico de la mujer  el tono de piel medio-oscuro,[cientifico de la mujer  el tono de piel medio-oscuro]
👩🏿‍🔬,woman scientist: dark skin tone,People & Body,person-role,1F469 1F3FF 200D 1F52C,cientifico de la mujer  tono de piel oscura,[cientifico de la mujer  tono de piel oscura]
🧑‍💻,technologist,People & Body,person-role,1F9D1 200D 1F4BB,tecnologo,[tecnologo]
🧑🏻‍💻,technologist: light skin tone,People & Body,person-role,1F9D1 1F3FB 200D 1F4BB,tecnologo  tono de piel clara,[tecnologo  tono de piel clara]
🧑🏼‍💻,technologist: medium-light skin tone,People & Body,person-role,1F9D1 1F3FC 200D 1F4BB,tono de la piel de mediano luz  tecnologo,[tono de la piel de mediano luz  tecnologo]
🧑🏽‍💻,technologist: medium skin tone,People & Body,person-role,1F9D1 1F3FD 200D 1F4BB,tecnologo  tono de piel medio,[tecnologo  tono de piel medio]
🧑🏾‍💻,technologist: medium-dark skin tone,People & Body,person-role,1F9D1 1F3FE 200D 1F4BB,tecnologo  tono de piel medio-oscuro,[tecnologo  tono de piel medio-oscuro]
🧑🏿‍💻,technologist: dark skin tone,People & Body,person-role,1F9D1 1F3FF 200D 1F4BB,tecnologo  tono de piel oscura,[tecnologo  tono de piel oscura]
👨‍💻,man technologist,People & Body,person-role,1F468 200D 1F4BB,hombre tecnologo,[hombre tecnologo]
👨🏻‍💻,man technologist: light skin tone,People & Body,person-role,1F468 1F3FB 200D 1F4BB,hombre tecnologo  tono de piel clara,[hombre tecnologo  tono de piel clara]
👨🏼‍💻,man technologist: medium-light skin tone,People & Body,person-role,1F468 1F3FC 200D 1F4BB,hombre tecnologo  tono de la piel de mediano luz,[hombre tecnologo  tono de la piel de mediano luz]
👨🏽‍💻,man technologist: medium skin tone,People & Body,person-role,1F468 1F3FD 200D 1F4BB,hombre tecnologo  tono de piel medio,[hombre tecnologo  tono de piel medio]
👨🏾‍💻,man technologist: medium-dark skin tone,People & Body,person-role,1F468 1F3FE 200D 1F4BB,hombre tecnologo  tono de piel medio-oscuro,[hombre tecnologo  tono de piel medio-oscuro]
👨🏿‍💻,man technologist: dark skin tone,People & Body,person-role,1F468 1F3FF 200D 1F4BB,hombre tecnologo  tono de piel oscura,[hombre tecnologo  tono de piel oscura]
👩‍💻,woman technologist,People & Body,person-role,1F469 200D 1F4BB,mujer tecnologo,[mujer tecnologo]
👩🏻‍💻,woman technologist: light skin tone,People & Body,person-role,1F469 1F3FB 200D 1F4BB,mujer tecnico  tono de piel clara,[mujer tecnico  tono de piel clara]
👩🏼‍💻,woman technologist: medium-light skin tone,People & Body,person-role,1F469 1F3FC 200D 1F4BB,mujer tecnico  tono de piel medio-luz,[mujer tecnico  tono de piel medio-luz]
👩🏽‍💻,woman technologist: medium skin tone,People & Body,person-role,1F469 1F3FD 200D 1F4BB,mujer tecnico  tono de piel medio,[mujer tecnico  tono de piel medio]
👩🏾‍💻,woman technologist: medium-dark skin tone,People & Body,person-role,1F469 1F3FE 200D 1F4BB,mujer tecnico  tono de piel medio-oscuro,[mujer tecnico  tono de piel medio-oscuro]
👩🏿‍💻,woman technologist: dark skin tone,People & Body,person-role,1F469 1F3FF 200D 1F4BB,mujer tecnico  tono de piel oscura,[mujer tecnico  tono de piel oscura]
🧑‍🎤,singer,People & Body,person-role,1F9D1 200D 1F3A4,cantante,[cantante]
🧑🏻‍🎤,singer: light skin tone,People & Body,person-role,1F9D1 1F3FB 200D 1F3A4,cantante  tono de piel clara,[cantante  tono de piel clara]
🧑🏼‍🎤,singer: medium-light skin tone,People & Body,person-role,1F9D1 1F3FC 200D 1F3A4,cantante  tono de la piel de mediano luz,[cantante  tono de la piel de mediano luz]
🧑🏽‍🎤,singer: medium skin tone,People & Body,person-role,1F9D1 1F3FD 200D 1F3A4,cantante  tono de piel medio,[cantante  tono de piel medio]
🧑🏾‍🎤,singer: medium-dark skin tone,People & Body,person-role,1F9D1 1F3FE 200D 1F3A4,cantante  tono de piel medio-oscuro,[cantante  tono de piel medio-oscuro]
🧑🏿‍🎤,singer: dark skin tone,People & Body,person-role,1F9D1 1F3FF 200D 1F3A4,cantante  tono de piel oscura,[cantante  tono de piel oscura]
👨‍🎤,man singer,People & Body,person-role,1F468 200D 1F3A4,cantante del hombre,[cantante del hombre]
👨🏻‍🎤,man singer: light skin tone,People & Body,person-role,1F468 1F3FB 200D 1F3A4,cantante del hombre  el tono de piel clara,[cantante del hombre  el tono de piel clara]
👨🏼‍🎤,man singer: medium-light skin tone,People & Body,person-role,1F468 1F3FC 200D 1F3A4,hombre cantante  tono de la piel de mediano luz,[hombre cantante  tono de la piel de mediano luz]
👨🏽‍🎤,man singer: medium skin tone,People & Body,person-role,1F468 1F3FD 200D 1F3A4,cantante hombre  tono de piel medio,[cantante hombre  tono de piel medio]
👨🏾‍🎤,man singer: medium-dark skin tone,People & Body,person-role,1F468 1F3FE 200D 1F3A4,hombre cantante  tono de piel medio-oscuro,[hombre cantante  tono de piel medio-oscuro]
👨🏿‍🎤,man singer: dark skin tone,People & Body,person-role,1F468 1F3FF 200D 1F3A4,hombre cantante  tono de piel oscura,[hombre cantante  tono de piel oscura]
👩‍🎤,woman singer,People & Body,person-role,1F469 200D 1F3A4,mujer cantante,[mujer cantante]
👩🏻‍🎤,woman singer: light skin tone,People & Body,person-role,1F469 1F3FB 200D 1F3A4,mujer cantante  tono de piel clara,[mujer cantante  tono de piel clara]
👩🏼‍🎤,woman singer: medium-light skin tone,People & Body,person-role,1F469 1F3FC 200D 1F3A4,mujer cantante  tono de piel medio-luz,[mujer cantante  tono de piel medio-luz]
👩🏽‍🎤,woman singer: medium skin tone,People & Body,person-role,1F469 1F3FD 200D 1F3A4,mujer cantante  tono de piel medio,[mujer cantante  tono de piel medio]
👩🏾‍🎤,woman singer: medium-dark skin tone,People & Body,person-role,1F469 1F3FE 200D 1F3A4,mujer cantante  tono de piel medio-oscuro,[mujer cantante  tono de piel medio-oscuro]
👩🏿‍🎤,woman singer: dark skin tone,People & Body,person-role,1F469 1F3FF 200D 1F3A4,mujer cantante  tono de piel oscura,[mujer cantante  tono de piel oscura]
🧑‍🎨,artist,People & Body,person-role,1F9D1 200D 1F3A8,artista,[artista]
🧑🏻‍🎨,artist: light skin tone,People & Body,person-role,1F9D1 1F3FB 200D 1F3A8,artista  tono de piel clara,[artista  tono de piel clara]
🧑🏼‍🎨,artist: medium-light skin tone,People & Body,person-role,1F9D1 1F3FC 200D 1F3A8,tono de piel medio-luz  artista,[tono de piel medio-luz  artista]
🧑🏽‍🎨,artist: medium skin tone,People & Body,person-role,1F9D1 1F3FD 200D 1F3A8,artista  tono de piel medio,[artista  tono de piel medio]
🧑🏾‍🎨,artist: medium-dark skin tone,People & Body,person-role,1F9D1 1F3FE 200D 1F3A8,artista  tono de piel medio-oscuro,[artista  tono de piel medio-oscuro]
🧑🏿‍🎨,artist: dark skin tone,People & Body,person-role,1F9D1 1F3FF 200D 1F3A8,artista  tono de piel oscura,[artista  tono de piel oscura]
👨‍🎨,man artist,People & Body,person-role,1F468 200D 1F3A8,hombre del artista,[hombre del artista]
👨🏻‍🎨,man artist: light skin tone,People & Body,person-role,1F468 1F3FB 200D 1F3A8,el hombre artista  tono de piel clara,[el hombre artista  tono de piel clara]
👨🏼‍🎨,man artist: medium-light skin tone,People & Body,person-role,1F468 1F3FC 200D 1F3A8,hombre del artista  tono de piel medio-luz,[hombre del artista  tono de piel medio-luz]
👨🏽‍🎨,man artist: medium skin tone,People & Body,person-role,1F468 1F3FD 200D 1F3A8,el hombre artista  tono de piel medio,[el hombre artista  tono de piel medio]
👨🏾‍🎨,man artist: medium-dark skin tone,People & Body,person-role,1F468 1F3FE 200D 1F3A8,hombre del artista  tono de piel medio-oscuro,[hombre del artista  tono de piel medio-oscuro]
👨🏿‍🎨,man artist: dark skin tone,People & Body,person-role,1F468 1F3FF 200D 1F3A8,hombre del artista  tono de piel oscura,[hombre del artista  tono de piel oscura]
👩‍🎨,woman artist,People & Body,person-role,1F469 200D 1F3A8,artista de la mujer,[artista de la mujer]
👩🏻‍🎨,woman artist: light skin tone,People & Body,person-role,1F469 1F3FB 200D 1F3A8,la mujer del artista  tono de piel clara,[la mujer del artista  tono de piel clara]
👩🏼‍🎨,woman artist: medium-light skin tone,People & Body,person-role,1F469 1F3FC 200D 1F3A8,la mujer del artista  tono de piel medio-luz,[la mujer del artista  tono de piel medio-luz]
👩🏽‍🎨,woman artist: medium skin tone,People & Body,person-role,1F469 1F3FD 200D 1F3A8,la mujer del artista  tono de piel medio,[la mujer del artista  tono de piel medio]
👩🏾‍🎨,woman artist: medium-dark skin tone,People & Body,person-role,1F469 1F3FE 200D 1F3A8,la mujer del artista  tono de piel medio-oscuro,[la mujer del artista  tono de piel medio-oscuro]
👩🏿‍🎨,woman artist: dark skin tone,People & Body,person-role,1F469 1F3FF 200D 1F3A8,la mujer del artista  tono de piel oscura,[la mujer del artista  tono de piel oscura]
🧑‍✈️,pilot,People & Body,person-role,1F9D1 200D 2708 FE0F,piloto,[piloto]
🧑‍✈,pilot,People & Body,person-role,1F9D1 200D 2708,piloto,[piloto]
🧑🏻‍✈️,pilot: light skin tone,People & Body,person-role,1F9D1 1F3FB 200D 2708 FE0F,piloto  tono de piel clara,[piloto  tono de piel clara]
🧑🏻‍✈,pilot: light skin tone,People & Body,person-role,1F9D1 1F3FB 200D 2708,piloto  tono de piel clara,[piloto  tono de piel clara]
🧑🏼‍✈️,pilot: medium-light skin tone,People & Body,person-role,1F9D1 1F3FC 200D 2708 FE0F,tono de la piel de mediano luz  piloto,[tono de la piel de mediano luz  piloto]
🧑🏼‍✈,pilot: medium-light skin tone,People & Body,person-role,1F9D1 1F3FC 200D 2708,tono de la piel de mediano luz  piloto,[tono de la piel de mediano luz  piloto]
🧑🏽‍✈️,pilot: medium skin tone,People & Body,person-role,1F9D1 1F3FD 200D 2708 FE0F,tono de piel medio  piloto,[tono de piel medio  piloto]
🧑🏽‍✈,pilot: medium skin tone,People & Body,person-role,1F9D1 1F3FD 200D 2708,tono de piel medio  piloto,[tono de piel medio  piloto]
🧑🏾‍✈️,pilot: medium-dark skin tone,People & Body,person-role,1F9D1 1F3FE 200D 2708 FE0F,tono de piel medio-oscuro  piloto,[tono de piel medio-oscuro  piloto]
🧑🏾‍✈,pilot: medium-dark skin tone,People & Body,person-role,1F9D1 1F3FE 200D 2708,tono de piel medio-oscuro  piloto,[tono de piel medio-oscuro  piloto]
🧑🏿‍✈️,pilot: dark skin tone,People & Body,person-role,1F9D1 1F3FF 200D 2708 FE0F,tono de piel oscura  piloto,[tono de piel oscura  piloto]
🧑🏿‍✈,pilot: dark skin tone,People & Body,person-role,1F9D1 1F3FF 200D 2708,tono de piel oscura  piloto,[tono de piel oscura  piloto]
👨‍✈️,man pilot,People & Body,person-role,1F468 200D 2708 FE0F,piloto hombre,[piloto hombre]
👨‍✈,man pilot,People & Body,person-role,1F468 200D 2708,piloto hombre,[piloto hombre]
👨🏻‍✈️,man pilot: light skin tone,People & Body,person-role,1F468 1F3FB 200D 2708 FE0F,piloto hombre  tono de piel clara,[piloto hombre  tono de piel clara]
👨🏻‍✈,man pilot: light skin tone,People & Body,person-role,1F468 1F3FB 200D 2708,piloto hombre  tono de piel clara,[piloto hombre  tono de piel clara]
👨🏼‍✈️,man pilot: medium-light skin tone,People & Body,person-role,1F468 1F3FC 200D 2708 FE0F,piloto hombre  el tono de piel medio-luz,[piloto hombre  el tono de piel medio-luz]
👨🏼‍✈,man pilot: medium-light skin tone,People & Body,person-role,1F468 1F3FC 200D 2708,piloto hombre  el tono de piel medio-luz,[piloto hombre  el tono de piel medio-luz]
👨🏽‍✈️,man pilot: medium skin tone,People & Body,person-role,1F468 1F3FD 200D 2708 FE0F,piloto hombre  tono de piel medio,[piloto hombre  tono de piel medio]
👨🏽‍✈,man pilot: medium skin tone,People & Body,person-role,1F468 1F3FD 200D 2708,piloto hombre  tono de piel medio,[piloto hombre  tono de piel medio]
👨🏾‍✈️,man pilot: medium-dark skin tone,People & Body,person-role,1F468 1F3FE 200D 2708 FE0F,piloto hombre  tono de piel medio-oscuro,[piloto hombre  tono de piel medio-oscuro]
👨🏾‍✈,man pilot: medium-dark skin tone,People & Body,person-role,1F468 1F3FE 200D 2708,piloto hombre  tono de piel medio-oscuro,[piloto hombre  tono de piel medio-oscuro]
👨🏿‍✈️,man pilot: dark skin tone,People & Body,person-role,1F468 1F3FF 200D 2708 FE0F,piloto hombre  tono de piel oscura,[piloto hombre  tono de piel oscura]
👨🏿‍✈,man pilot: dark skin tone,People & Body,person-role,1F468 1F3FF 200D 2708,piloto hombre  tono de piel oscura,[piloto hombre  tono de piel oscura]
👩‍✈️,woman pilot,People & Body,person-role,1F469 200D 2708 FE0F,mujer piloto,[mujer piloto]
👩‍✈,woman pilot,People & Body,person-role,1F469 200D 2708,mujer piloto,[mujer piloto]
👩🏻‍✈️,woman pilot: light skin tone,People & Body,person-role,1F469 1F3FB 200D 2708 FE0F,mujer piloto  tono de piel clara,[mujer piloto  tono de piel clara]
👩🏻‍✈,woman pilot: light skin tone,People & Body,person-role,1F469 1F3FB 200D 2708,mujer piloto  tono de piel clara,[mujer piloto  tono de piel clara]
👩🏼‍✈️,woman pilot: medium-light skin tone,People & Body,person-role,1F469 1F3FC 200D 2708 FE0F,piloto de la mujer  el tono de piel medio-luz,[piloto de la mujer  el tono de piel medio-luz]
👩🏼‍✈,woman pilot: medium-light skin tone,People & Body,person-role,1F469 1F3FC 200D 2708,piloto de la mujer  el tono de piel medio-luz,[piloto de la mujer  el tono de piel medio-luz]
👩🏽‍✈️,woman pilot: medium skin tone,People & Body,person-role,1F469 1F3FD 200D 2708 FE0F,mujer experimental  tono de piel medio,[mujer experimental  tono de piel medio]
👩🏽‍✈,woman pilot: medium skin tone,People & Body,person-role,1F469 1F3FD 200D 2708,mujer experimental  tono de piel medio,[mujer experimental  tono de piel medio]
👩🏾‍✈️,woman pilot: medium-dark skin tone,People & Body,person-role,1F469 1F3FE 200D 2708 FE0F,piloto de la mujer  el tono de piel medio-oscuro,[piloto de la mujer  el tono de piel medio-oscuro]
👩🏾‍✈,woman pilot: medium-dark skin tone,People & Body,person-role,1F469 1F3FE 200D 2708,piloto de la mujer  el tono de piel medio-oscuro,[piloto de la mujer  el tono de piel medio-oscuro]
👩🏿‍✈️,woman pilot: dark skin tone,People & Body,person-role,1F469 1F3FF 200D 2708 FE0F,mujer experimental  tono de piel oscura,[mujer experimental  tono de piel oscura]
👩🏿‍✈,woman pilot: dark skin tone,People & Body,person-role,1F469 1F3FF 200D 2708,mujer experimental  tono de piel oscura,[mujer experimental  tono de piel oscura]
🧑‍🚀,astronaut,People & Body,person-role,1F9D1 200D 1F680,astronauta,[astronauta]
🧑🏻‍🚀,astronaut: light skin tone,People & Body,person-role,1F9D1 1F3FB 200D 1F680,astronauta  tono de piel clara,[astronauta  tono de piel clara]
🧑🏼‍🚀,astronaut: medium-light skin tone,People & Body,person-role,1F9D1 1F3FC 200D 1F680,tono de la piel de mediano luz  astronauta,[tono de la piel de mediano luz  astronauta]
🧑🏽‍🚀,astronaut: medium skin tone,People & Body,person-role,1F9D1 1F3FD 200D 1F680,astronauta  tono de piel medio,[astronauta  tono de piel medio]
🧑🏾‍🚀,astronaut: medium-dark skin tone,People & Body,person-role,1F9D1 1F3FE 200D 1F680,astronauta  tono de piel medio-oscuro,[astronauta  tono de piel medio-oscuro]
